Domains,Revenue,Employees,Industry,Class,Discover - Events,Discover - Overall Score,Event Count
ucsf.edu,5570006,27242,Education,1,"Date: 11/12/2023
Type: partners_with
Event: Speech Graphics partners with University of California San Francisco.
URL: http://www.legitcoder.com/6-med-tech-innovations-from-2023-that-could-improve-our-lives/

Date: 11/12/2023
Type: Launches
Event: University of California San Francisco launches UCSF Health Atlas.
URL: https://www.matvuk.com/coronavirus-exposes-social-factors-that-damage-prince-georgians-health.html

Date: 11/12/2023
Type: Launches
Event: University of California San Francisco launches interactive population health mapping web site.
URL: https://www.matvuk.com/coronavirus-exposes-social-factors-that-damage-prince-georgians-health.html

Date: 05/12/2023
Type: Recognized As
Event: University of California San Francisco recognized as best in quality, safety.
URL: https://www.ucsf.edu/news/2023/12/426736/two-ucsf-health-hospitals-among-nations-best-quality-safety

Date: 05/12/2023
Type: Receives Award
Event: University of California San Francisco received award 2023 Top Hospital on Dec 6th '22.
URL: https://www.ucsf.edu/news/2023/12/426736/two-ucsf-health-hospitals-among-nations-best-quality-safety",Excellent,5
altaequipment.com,1275700,2250,Retail,1,"Date: 27/09/2023
Type: acquires
Event: Alta Equipment Group acquires Burris Equipment Company.
URL: https://www.globenewswire.com/news-release/2023/09/28/2751059/0/en/Alta-Equipment-Group-to-Acquire-Burris-Equipment-Adding-to-Its-Construction-Business-Segment.html

Date: 27/07/2023
Type: Launches
Event: Alta Equipment Group launches Call and Webcast.
URL: https://www.thecanadafinancejournal.com/article/664049272-alta-equipment-group-announces-date-of-third-quarter-2023-financial-results-release-conference-call-and-webcast

Date: 28/02/2023
Type: Partners With
Event: Dynapac North America LLC partners with Alta Equipment Group.
URL: https://news.ararental.org/dynapac-north-america-expands-partnership-with-alta-equipment-co/

Date: 09/02/2023
Type: Hires
Event: Alta Equipment Group hired Ryan Curtis as general manager of New York division on Feb 1st '22.
URL: https://www.constructionequipmentguide.com/alta-equipment-names-new-gm-of-new-york-division/59904",Booster activated,4
healthequity.com,861748,3170,Insurance,1,"Date: 10/10/2023
Type: files_suit_against
Event: Quest Software Inc. files suit against HealthEquity, Inc..
URL: https://news.bloomberglaw.com/ip-law/quest-software-sues-healthequity-for-license-breach-copyrights

Date: 08/09/2023
Type: Partners With
Event: HealthEquity, Inc. partners with National Medical Fellowships, Inc..
URL: https://www.jnj.com/our-race-to-health-equity/health-equity-champion-spotlight-how-dr-yolanda-lawson-fosters-inclusion-through-clinical-trial-diversity

Date: 08/05/2023
Type: Receives Award
Event: HealthEquity, Inc. received award 2023 Platinum Healthy Worksite Award on May 9th '23.
URL: https://www.globenewswire.com/news-release/2023/05/09/2664444/32142/en/HealthEquity-Honored-with-2023-Healthy-Worksite-Award-by-Utah-Worksite-Wellness-Council.html

Date: 08/05/2023
Type: Receives Award
Event: HealthEquity, Inc. receives award Innovation Award.
URL: https://www.globenewswire.com/news-release/2023/05/09/2664444/32142/en/HealthEquity-Honored-with-2023-Healthy-Worksite-Award-by-Utah-Worksite-Wellness-Council.html

Date: 04/04/2023
Type: Partners With
Event: HealthEquity, Inc. partners with Microsoft Corp..
URL: https://www.globenewswire.com/news-release/2023/04/04/2641222/0/en/HealthEquity-Partners-With-Microsoft-to-Fast-Track-the-Future-of-Health-Benefits-Using-Cloud-Capabilities.html",Good,5
icf.com,1692340,9000,Business Services,1,"Date: 12/12/2023
Type: partners_with
Event: ICF International, Inc. partnered with Xentity Corporation on Dec 11th '23.
URL: https://executivebiz.com/2023/12/icf-books-78m-forest-service-digital-modernization-task-order/

Date: 29/11/2023
Type: Expands Offices To
Event: ICF International, Inc. expanded offices to Reston, Virginia, United States on Nov 22nd '23.
URL: https://www.ffxnow.com/2023/11/29/county-to-consider-mixed-use-development-for-former-icf-office-buildings-in-oakton/

Date: 19/11/2023
Type: Partners With
Event: ICF International, Inc. partners with HUD.
URL: https://www.prnewswire.com/news-releases/hud-selects-icf-for-community-development-and-technology-services-301993790.html

Date: 12/11/2023
Type: Recognized As
Event: ICF International, Inc. recognized as 2022 U.S. Federal Partner of the Year.
URL: https://www.prnewswire.com/news-releases/dhs-selects-icf-for-new-36-million-digital-modernization-task-order-301986415.html

Date: 24/10/2023
Type: Partners With
Event: Beml partners with ICF International, Inc..
URL: https://timesofindia.indiatimes.com/city/hyderabad/vande-bharat-trains-most-preferred-among-youth/articleshow/104685011.cms",Booster activated,5
cummins.com,24313999,59900,Manufacturing,1,"Type: *** Discover Insider ***
Event: Director of Cummins told us they were looking into ' Backup/recovery performance unacceptable .


Date: 11/12/2023
Type: Launches
Event: Cummins Inc. launches DATUM.
URL: https://www.autocarpro.in/news/cummins-india-repos-energy-launch-datum-at-cii-excon-2023-118216

Date: 11/12/2023
Type: Partners With
Event: Cummins Inc. partners with Repos.
URL: https://www.autocarpro.in/news/cummins-india-repos-energy-launch-datum-at-cii-excon-2023-118216

Date: 06/12/2023
Type: Partners With
Event: Cummins Inc. partners with Sullivanasia.
URL: https://www.turbomachinerymag.com/view/cummins-arabia-sullivan-palatek-partner-to-distribute-portable-air-compressors

Date: 03/12/2023
Type: Partners With
Event: Cummins Inc. partnered with Sullivan Palatek, Inc. on Dec 5th '23.
URL: https://www.prnewswire.com/ae/news-releases/cummins-arabia-and-sullivan-palatek-form-strategic-alliance-to-distribute-portable-air-compressors-in-the-uae-302005077.html

Date: 28/11/2023
Type: Invests Into Assets
Event: Cummins Inc. invests into assets: Seymour Engine Plant in the amount of $27.5M in SEYMOUR.
URL: https://tribtown.com/2023/11/28/common-council-approves-tax-abatements-for-cummins/",Booster activated,5
directv.com,3695818,10001,Media & Internet,1,"Date: 06/12/2023
Type: launches
Event: DirecTV launched Pursuit Channel to lineup on Dec 6th '23.
URL: https://streamingbetter.com/directv-stream-subscribers-now-have-access-to-pursuit-channel/

Date: 29/11/2023
Type: Leaves
Event: Jason Brown left DirecTV as senior VP, chief revenue officer on Jan 1st '23.
URL: https://www.yahoo.com/entertainment/dan-callahan-joins-charter-spectrum-200001458.html

Date: 17/11/2023
Type: Launches
Event: DirecTV launches & improved app on Roku, Fire TV, & Android TV.
URL: https://cordcuttersnews.com/directv-directv-stream-are-rolling-out-a-new-improved-app-on-roku-fire-tv-android-tv/

Date: 18/10/2023
Type: Partners With
Event: DirecTV partners with Delta.
URL: https://streamingbetter.com/live-tv-from-directv-now-available-on-select-delta-flights/

Date: 18/10/2023
Type: Launches
Event: DirecTV launches domestic 18-channel TV.
URL: https://www.adweek.com/tvspy/delta-to-launch-live-tv-on-some-domestic-flights/250969/",Excellent,5
aflac.com,19030000,12882,Insurance,1,"Date: 02/12/2023
Type: invests_into
Event: EQIS Capital Management, Inc. invests into Aflac.
URL: https://slatersentinel.com/news/2023/12/03/eqis-capital-management-inc-makes-new-investment-in-aflac-incorporated-nyseafl.html

Date: 29/11/2023
Type: Retires From
Event: Shelby Amos retired from Aflac as market director on Jan 1st '14.
URL: https://www.ledger-enquirer.com/news/local/article282533743.html

Date: 17/11/2023
Type: Hires
Event: Aflac will hire Daniel P. Amos as President on Jan 1st '24.
URL: https://www.marketscreener.com/quote/stock/AFLAC-INCORPORATED-11556/news/Aflac-Incorporated-Appoints-Daniel-P-Amos-as-President-Effective-on-January-1-2024-45390041/

Date: 02/11/2023
Type: Invests Into
Event: Aflac invested into South Carolina State University $200K on Oct 2nd '23.
URL: https://clutchpoints.com/south-carolina-state-receives-200000-grant-from-aflac-to-bring-equity-to-medical-fields

Date: 04/10/2023
Type: Receives Award
Event: Aflac receives award 2023 CSO50 Award.
URL: https://www.valdostadailytimes.com/ap/business/aflac-wins-2023-cso50-award-from-foundrys-cso/article_96e3be32-16dd-58f0-b902-b947e3c12ab2.html",Booster activated,5
cunamutual.com,5286807,4200,Manufacturing,1,"Date: 17/07/2023
Type: has_issues_with
Event: CUNA Mutual Group has issues with unfair labor practices.
URL: https://captimes.com/opinion/john-nichols/opinion-madisonians-should-be-troubled-over-treatment-of-cuna-workers/article_62736638-6f6f-5727-916f-7a75e1f8f29c.html

Date: 19/04/2023
Type: Partners With
Event: State Employees' Credit Union Inc partners with CUNA Mutual Group.
URL: https://www.benzinga.com/pressreleases/23/04/g31892386/secu-kicks-off-financial-literacy-month-with-cuna-mutual-group-and-charlotte-mecklenburg-schools

Date: 19/04/2023
Type: Partners With
Event: CUNA Mutual Group partnered with LPL Financial on Jun 1st '21.
URL: https://businessrecord.com/MobileContent/Banking-Finance/Banking-Finance/Article/CUNA-Mutual-Group-LPL-Financial-form-strategic-alliance/194/1025/93656

Date: 10/04/2023
Type: Partners With
Event: African-American Credit Union Coalition partners with CUNA Mutual Group.
URL: https://www.einnews.com/pr_news/627291641/aacuc-announces-25th-anniversary-legacy-conference

Date: 04/04/2023
Type: Hires
Event: CUNA Mutual Group hires Ogletree Deakins.
URL: https://isthmus.com/news/news/union-turmoil-at-cuna-mutual/",Booster activated,5
asurion.com,21495943,23000,Consumer Services,1,"Type: *** Discover Insider ***
Event: Senior Director Digital Transformation of Asurion, is interested in Microsoft Azure Customer Reference Book - whitepaper in Singapore.


Date: 13/11/2023
Type: Promotes
Event: Asurion, LLC promoted Tim Stadthaus to CEO on Nov 14th '23.
URL: https://www.nashvillepost.com/business/people/nashvilles-asurion-names-new-ceo/article_381de086-8334-11ee-8685-272a0a2f481e.html

Date: 13/11/2023
Type: Hires
Event: Asurion, LLC hired Tim Stadthaus as chief executive officer on Oct 14th '23.
URL: https://www.bizjournals.com/nashville/news/2023/11/14/asurion-ceo-tony-detter-board-chairman-taweel.html?ana=RSS&s=article_search

Date: 17/08/2023
Type: Partners With
Event: Google partners with Asurion, LLC.
URL: https://www.androidauthority.com/google-pixel-7a-self-repair-3355704/

Date: 04/05/2023
Type: Launches
Event: Asurion, LLC launches trade-in service in the UK.
URL: https://www.techdigest.tv/2023/05/insurance-provider-launches-trade-in-service-for-mobile-devices.html?utm_source=rss&utm_medium=rss&utm_campaign=insurance-provider-launches-trade-in-service-for-mobile-devices",Booster activated,4
principal.com,14107900,19300,Finance,1,"Type: *** Discover Insider ***
Event: Chief Marketing Officer Insurance of Principal, is interested in 2022 Data Protection Trends Executive Brief in United States.


Date: 02/12/2023
Type: Invests Into Assets
Event: Principal Financial Services, Inc. invests into assets: stake in Kura Oncology in the amount of $198K.
URL: https://www.etfdailynews.com/2023/12/03/prosight-management-lp-purchases-new-shares-in-kura-oncology-inc-nasdaqkura/

Date: 30/11/2023
Type: Invests Into
Event: Principal Financial Services, Inc. invests into Thermon Manufacturing Company $219K.
URL: https://www.defenseworld.net/2023/12/01/principal-financial-group-inc-invests-219000-in-thermon-group-holdings-inc-nysethr.html

Date: 21/11/2023
Type: Recognized As
Event: Principal Financial Services, Inc. recognized as top spot in the Forbes ""America's Best Employers.
URL: https://www.businessrecord.com/29-iowa-employers-make-forbes-best-in-state-employer-list/

Date: 19/11/2023
Type: Recognized As
Event: Principal Financial Services, Inc. recognized as 2024 Military Friendly Employer on Nov 20th '23.
URL: https://www.ga-institute.com/news/3bl.html?mid=1241171&pgno=1&fdpgno=1

Date: 08/11/2023
Type: Recognized As
Event: Principal Financial Services, Inc. recognized as Top Socially Responsible Dividend Stock.
URL: https://www.nasdaq.com/articles/pfg-named-a-top-socially-responsible-dividend-stock",Excellent,5
